n_tests_passed,pct_ligands,method_id,method_label
1,0.0,gnina,GNINA 1.3
2,0.0,gnina,GNINA 1.3
3,0.0,gnina,GNINA 1.3
4,2.3748179679623616,gnina,GNINA 1.3
5,0.0,gnina,GNINA 1.3
6,0.02240394309398454,gnina,GNINA 1.3
7,0.0,gnina,GNINA 1.3
8,0.01120197154699227,gnina,GNINA 1.3
9,0.3808670325977372,gnina,GNINA 1.3
10,2.81169485829506,gnina,GNINA 1.3
11,32.76576677495239,gnina,GNINA 1.3
12,40.01344236585639,gnina,GNINA 1.3
13,0.6721182928195363,gnina,GNINA 1.3
14,0.5600985773496135,gnina,GNINA 1.3
15,1.0417833538702812,gnina,GNINA 1.3
16,2.3412120533213847,gnina,GNINA 1.3
17,4.839251708300661,gnina,GNINA 1.3
18,4.133527500840148,gnina,GNINA 1.3
19,4.111123557746163,gnina,GNINA 1.3
20,3.920690041447295,gnina,GNINA 1.3
